community	replicate	dilution_factor	wavelength	absorbance
00000000	R1	0.025	770	0
00000000	R1	0.025	775	0
00000000	R1	0.025	780	0
00000000	R1	0.25	380	0
00000000	R1	0.25	385	0
00000000	R1	0.25	390	0
00000000	R1	0.25	395	0
00000000	R1	0.25	400	0
00000000	R1	0.25	405	0
00000000	R1	0.25	410	0
00000000	R1	0.25	415	0
00000000	R1	0.25	420	0
00000000	R1	0.25	425	0
00000000	R1	0.25	430	0
00000000	R1	0.25	435	0
00000000	R1	0.25	440	0
00000000	R1	0.25	445	0
00000000	R1	0.25	450	0
00000000	R1	0.25	455	0
00000000	R1	0.25	460	0
00000000	R1	0.25	465	0
00000000	R1	0.25	470	0
00000000	R1	0.25	475	0
00000000	R1	0.25	480	0
00000000	R1	0.25	485	0
00000000	R1	0.25	490	0
00000000	R1	0.25	495	0
00000000	R1	0.25	500	0
00000000	R1	0.25	505	0
00000000	R1	0.25	510	0
00000000	R1	0.25	515	0
00000000	R1	0.25	520	0
00000000	R1	0.25	525	0
00000000	R1	0.25	530	0
00000000	R1	0.25	535	0
00000000	R1	0.25	540	0
00000000	R1	0.25	545	0
00000000	R1	0.25	550	0
00000000	R1	0.25	555	0
00000000	R1	0.25	560	0
00000000	R1	0.25	565	0
00000000	R1	0.25	570	0
00000000	R1	0.25	575	0
00000000	R1	0.25	580	0
00000000	R1	0.25	585	0
00000000	R1	0.25	590	0
00000000	R1	0.25	595	0
00000000	R1	0.25	600	0
00000000	R1	0.25	605	0
00000000	R1	0.25	610	0
00000000	R1	0.25	615	0
00000000	R1	0.25	620	0
00000000	R1	0.25	625	0
00000000	R1	0.25	630	0
00000000	R1	0.25	635	0
00000000	R1	0.25	640	0
00000000	R1	0.25	645	0
00000000	R1	0.25	650	0
00000000	R1	0.25	655	0
00000000	R1	0.25	660	0
00000000	R1	0.25	665	0
00000000	R1	0.25	670	0
00000000	R1	0.25	675	0
00000000	R1	0.25	680	0
00000000	R1	0.25	685	0
00000000	R1	0.25	690	0
00000000	R1	0.25	695	0
00000000	R1	0.25	700	0
00000000	R1	0.25	705	0
00000000	R1	0.25	710	0
00000000	R1	0.25	715	0
00000000	R1	0.25	720	0
00000000	R1	0.25	725	0
00000000	R1	0.25	730	0
00000000	R1	0.25	735	0
00000000	R1	0.25	740	0
00000000	R1	0.25	745	0
00000000	R1	0.25	750	0
00000000	R1	0.25	755	0
00000000	R1	0.25	760	0
00000000	R1	0.25	765	0
00000000	R1	0.25	770	0
00000000	R1	0.25	775	0
00000000	R1	0.25	780	0
00000001	R1	0.0025	380	2.4809
00000001	R1	0.0025	385	2.4191
00000001	R1	0.0025	390	2.3683
00000001	R1	0.0025	395	2.3198
00000001	R1	0.0025	400	2.2799
00000001	R1	0.0025	405	2.2348
00000001	R1	0.0025	410	2.1861
00000001	R1	0.0025	415	2.1216
00000001	R1	0.0025	420	2.041
00000001	R1	0.0025	425	1.9647
00000001	R1	0.0025	430	1.8823
00000001	R1	0.0025	435	1.7991
00000001	R1	0.0025	440	1.7294
00000001	R1	0.0025	445	1.6626
00000001	R1	0.0025	450	1.6068
00000001	R1	0.0025	455	1.5623
00000001	R1	0.0025	460	1.5286
00000001	R1	0.0025	465	1.4993
00000001	R1	0.0025	470	1.4753
00000001	R1	0.0025	475	1.4562
00000001	R1	0.0025	480	1.4387
00000001	R1	0.0025	485	1.4222
00000001	R1	0.0025	490	1.4058
00000001	R1	0.0025	495	1.3915
00000001	R1	0.0025	500	1.3781
00000001	R1	0.0025	505	1.3662
00000001	R1	0.0025	510	1.358
00000001	R1	0.0025	515	1.349
00000001	R1	0.0025	520	1.3421
00000001	R1	0.0025	525	1.3339
00000001	R1	0.0025	530	1.3268
00000001	R1	0.0025	535	1.3178
00000001	R1	0.0025	540	1.3089
00000001	R1	0.0025	545	1.3028
00000001	R1	0.0025	550	1.3003
00000001	R1	0.0025	555	1.2924
00000001	R1	0.0025	560	1.2832
00000001	R1	0.0025	565	1.2726
00000001	R1	0.0025	570	1.2638
00000001	R1	0.0025	575	1.2557
00000001	R1	0.0025	580	1.2476
00000001	R1	0.0025	585	1.2424
00000001	R1	0.0025	590	1.2346
00000001	R1	0.0025	595	1.2272
00000001	R1	0.0025	600	1.22
00000001	R1	0.0025	605	1.2144
00000001	R1	0.0025	610	1.2058
00000001	R1	0.0025	615	1.1998
00000001	R1	0.0025	620	1.194
00000001	R1	0.0025	625	1.1875
00000001	R1	0.0025	630	1.181
00000001	R1	0.0025	635	1.1744
00000001	R1	0.0025	640	1.1688
00000001	R1	0.0025	645	1.162
00000001	R1	0.0025	650	1.1546
00000001	R1	0.0025	655	1.1476
00000001	R1	0.0025	660	1.1416
00000001	R1	0.0025	665	1.1349
00000001	R1	0.0025	670	1.1289
00000001	R1	0.0025	675	1.1216
00000001	R1	0.0025	680	1.1156
00000001	R1	0.0025	685	1.1104
00000001	R1	0.0025	690	1.1028
00000001	R1	0.0025	695	1.0941
00000001	R1	0.0025	700	1.0891
00000001	R1	0.0025	705	1.0825
00000001	R1	0.0025	710	1.0772
00000001	R1	0.0025	715	1.0702
00000001	R1	0.0025	720	1.0635
00000001	R1	0.0025	725	1.0561
00000001	R1	0.0025	730	1.0489
00000001	R1	0.0025	735	1.0445
00000001	R1	0.0025	740	1.0381
00000001	R1	0.0025	745	1.0309
00000001	R1	0.0025	750	1.0269
00000001	R1	0.0025	755	1.0197
00000001	R1	0.0025	760	1.0131
00000001	R1	0.0025	765	1.0081
00000001	R1	0.0025	770	1.0015
00000001	R1	0.0025	775	0.9957
00000001	R1	0.0025	780	0.9884
00000001	R1	0.025	380	2.682
00000001	R1	0.025	385	2.6199
00000001	R1	0.025	390	2.5579
00000001	R1	0.025	395	2.4889
00000001	R1	0.025	400	2.4434
00000001	R1	0.025	405	2.3983
00000001	R1	0.025	410	2.3565
00000001	R1	0.025	415	2.3042
00000001	R1	0.025	420	2.2487
00000001	R1	0.025	425	2.1855
00000001	R1	0.025	430	2.1135
00000001	R1	0.025	435	2.0353
00000001	R1	0.025	440	1.9707
00000001	R1	0.025	445	1.9043
00000001	R1	0.025	450	1.848
00000001	R1	0.025	455	1.802
00000001	R1	0.025	460	1.7654
00000001	R1	0.025	465	1.7348
00000001	R1	0.025	470	1.7094
00000001	R1	0.025	475	1.6892
00000001	R1	0.025	480	1.6695
00000001	R1	0.025	485	1.6523
00000001	R1	0.025	490	1.6327
00000001	R1	0.025	495	1.6185
00000001	R1	0.025	500	1.6047
00000001	R1	0.025	505	1.593
00000001	R1	0.025	510	1.5805
00000001	R1	0.025	515	1.5721
00000001	R1	0.025	520	1.5659
00000001	R1	0.025	525	1.5577
00000001	R1	0.025	530	1.5495
00000001	R1	0.025	535	1.5398
00000001	R1	0.025	540	1.53
00000001	R1	0.025	545	1.5233
00000001	R1	0.025	550	1.5202
00000001	R1	0.025	555	1.5129
00000001	R1	0.025	560	1.5026
00000001	R1	0.025	565	1.4912
00000001	R1	0.025	570	1.4802
00000001	R1	0.025	575	1.4719
00000001	R1	0.025	580	1.4646
00000001	R1	0.025	585	1.456
00000001	R1	0.025	590	1.4508
00000001	R1	0.025	595	1.4409
00000001	R1	0.025	600	1.4341
00000001	R1	0.025	605	1.4279
00000001	R1	0.025	610	1.4219
00000001	R1	0.025	615	1.4136
00000001	R1	0.025	620	1.4075
00000001	R1	0.025	625	1.4003
00000001	R1	0.025	630	1.3925
00000001	R1	0.025	635	1.3876
00000001	R1	0.025	640	1.3795
00000001	R1	0.025	645	1.3733
00000001	R1	0.025	650	1.3665
00000001	R1	0.025	655	1.36
00000001	R1	0.025	660	1.3543
00000001	R1	0.025	665	1.346
00000001	R1	0.025	670	1.3398
00000001	R1	0.025	675	1.3326
00000001	R1	0.025	680	1.326
00000001	R1	0.025	685	1.3202
00000001	R1	0.025	690	1.3128
00000001	R1	0.025	695	1.303
00000001	R1	0.025	700	1.2989
00000001	R1	0.025	705	1.2979
00000001	R1	0.025	710	1.2937
00000001	R1	0.025	715	1.2833
00000001	R1	0.025	720	1.2733
00000001	R1	0.025	725	1.2651
00000001	R1	0.025	730	1.2599
00000001	R1	0.025	735	1.254
00000001	R1	0.025	740	1.2484
00000001	R1	0.025	745	1.2436
00000001	R1	0.025	750	1.2381
00000001	R1	0.025	755	1.231
00000001	R1	0.025	760	1.225
00000001	R1	0.025	765	1.2174
00000001	R1	0.025	770	1.211
00000001	R1	0.025	775	1.2063
00000001	R1	0.025	780	1.201
00000001	R1	0.25	380	2.5929
00000001	R1	0.25	385	2.5346
00000001	R1	0.25	390	2.479
00000001	R1	0.25	395	2.4293
00000001	R1	0.25	400	2.3888
00000001	R1	0.25	405	2.3463
00000001	R1	0.25	410	2.2875
00000001	R1	0.25	415	2.2123
00000001	R1	0.25	420	2.1226
00000001	R1	0.25	425	2.0376
00000001	R1	0.25	430	1.9451
00000001	R1	0.25	435	1.8567
00000001	R1	0.25	440	1.7824
00000001	R1	0.25	445	1.7121
00000001	R1	0.25	450	1.6501
00000001	R1	0.25	455	1.602
00000001	R1	0.25	460	1.5637
00000001	R1	0.25	465	1.5302
00000001	R1	0.25	470	1.5038
00000001	R1	0.25	475	1.4826
00000001	R1	0.25	480	1.4628
00000001	R1	0.25	485	1.4463
00000001	R1	0.25	490	1.4281
00000001	R1	0.25	495	1.4139
00000001	R1	0.25	500	1.3995
00000001	R1	0.25	505	1.3879
00000001	R1	0.25	510	1.3776
00000001	R1	0.25	515	1.3682
00000001	R1	0.25	520	1.361
00000001	R1	0.25	525	1.3521
00000001	R1	0.25	530	1.3459
00000001	R1	0.25	535	1.3369
00000001	R1	0.25	540	1.3272
00000001	R1	0.25	545	1.3211
00000001	R1	0.25	550	1.3175
00000001	R1	0.25	555	1.3093
00000001	R1	0.25	560	1.2995
00000001	R1	0.25	565	1.2896
00000001	R1	0.25	570	1.2811
00000001	R1	0.25	575	1.2738
00000001	R1	0.25	580	1.2666
00000001	R1	0.25	585	1.259
00000001	R1	0.25	590	1.2523
00000001	R1	0.25	595	1.2452
00000001	R1	0.25	600	1.2388
00000001	R1	0.25	605	1.2323
00000001	R1	0.25	610	1.2252
00000001	R1	0.25	615	1.2189
00000001	R1	0.25	620	1.2132
00000001	R1	0.25	625	1.2067
00000001	R1	0.25	630	1.2011
00000001	R1	0.25	635	1.1945
00000001	R1	0.25	640	1.1885
00000001	R1	0.25	645	1.1822
00000001	R1	0.25	650	1.177
00000001	R1	0.25	655	1.1686
00000001	R1	0.25	660	1.1637
00000001	R1	0.25	665	1.1565
00000001	R1	0.25	670	1.1493
00000001	R1	0.25	675	1.1444
00000001	R1	0.25	680	1.1379
00000001	R1	0.25	685	1.1318
00000001	R1	0.25	690	1.1237
00000001	R1	0.25	695	1.1155
00000001	R1	0.25	700	1.1116
00000001	R1	0.25	705	1.1058
00000001	R1	0.25	710	1.1
00000001	R1	0.25	715	1.0917
00000001	R1	0.25	720	1.0838
00000001	R1	0.25	725	1.0758
00000001	R1	0.25	730	1.0689
00000001	R1	0.25	735	1.0644
00000001	R1	0.25	740	1.0565
00000001	R1	0.25	745	1.0492
00000001	R1	0.25	750	1.0439
00000001	R1	0.25	755	1.0366
00000001	R1	0.25	760	1.0305
00000001	R1	0.25	765	1.0237
00000001	R1	0.25	770	1.0163
00000001	R1	0.25	775	1.0098
00000001	R1	0.25	780	1.0047
00000010	R1	0.0025	380	2.535
00000010	R1	0.0025	385	2.442
00000010	R1	0.0025	390	2.3677
00000010	R1	0.0025	395	2.297
00000010	R1	0.0025	400	2.2381
00000010	R1	0.0025	405	2.1786
00000010	R1	0.0025	410	2.1095
00000010	R1	0.0025	415	2.0262
00000010	R1	0.0025	420	1.938
00000010	R1	0.0025	425	1.8597
00000010	R1	0.0025	430	1.7746
00000010	R1	0.0025	435	1.6857
00000010	R1	0.0025	440	1.6108
00000010	R1	0.0025	445	1.5305
00000010	R1	0.0025	450	1.4616
00000010	R1	0.0025	455	1.4074
00000010	R1	0.0025	460	1.3663
00000010	R1	0.0025	465	1.3304
00000010	R1	0.0025	470	1.3024
00000010	R1	0.0025	475	1.2814
00000010	R1	0.0025	480	1.2621
00000010	R1	0.0025	485	1.2438
00000010	R1	0.0025	490	1.2254
00000010	R1	0.0025	495	1.2105
00000010	R1	0.0025	500	1.1958
00000010	R1	0.0025	505	1.1825
00000010	R1	0.0025	510	1.1709
00000010	R1	0.0025	515	1.1604
00000010	R1	0.0025	520	1.1515
00000010	R1	0.0025	525	1.1417
00000010	R1	0.0025	530	1.1327
00000010	R1	0.0025	535	1.1225
00000010	R1	0.0025	540	1.1115
00000010	R1	0.0025	545	1.1031
00000010	R1	0.0025	550	1.0971
00000010	R1	0.0025	555	1.0873
00000010	R1	0.0025	560	1.0763
00000010	R1	0.0025	565	1.0657
00000010	R1	0.0025	570	1.0561
00000010	R1	0.0025	575	1.0457
00000010	R1	0.0025	580	1.0367
00000010	R1	0.0025	585	1.0289
00000010	R1	0.0025	590	1.019
00000010	R1	0.0025	595	1.0102
00000010	R1	0.0025	600	1.0028
00000010	R1	0.0025	605	0.9944
00000010	R1	0.0025	610	0.9847
00000010	R1	0.0025	615	0.9773
00000010	R1	0.0025	620	0.9695
00000010	R1	0.0025	625	0.9624
00000010	R1	0.0025	630	0.9545
00000010	R1	0.0025	635	0.946
00000010	R1	0.0025	640	0.9377
00000010	R1	0.0025	645	0.9314
00000010	R1	0.0025	650	0.9217
00000010	R1	0.0025	655	0.914
00000010	R1	0.0025	660	0.9059
00000010	R1	0.0025	665	0.8992
00000010	R1	0.0025	670	0.8924
00000010	R1	0.0025	675	0.884
00000010	R1	0.0025	680	0.8768
00000010	R1	0.0025	685	0.8694
00000010	R1	0.0025	690	0.8618
00000010	R1	0.0025	695	0.8535
00000010	R1	0.0025	700	0.846
00000010	R1	0.0025	705	0.839
00000010	R1	0.0025	710	0.8323
00000010	R1	0.0025	715	0.8247
00000010	R1	0.0025	720	0.817
00000010	R1	0.0025	725	0.81
00000010	R1	0.0025	730	0.803
00000010	R1	0.0025	735	0.7962
00000010	R1	0.0025	740	0.789
00000010	R1	0.0025	745	0.7811
00000010	R1	0.0025	750	0.776
00000010	R1	0.0025	755	0.7687
00000010	R1	0.0025	760	0.7616
00000010	R1	0.0025	765	0.7549
00000010	R1	0.0025	770	0.748
00000010	R1	0.0025	775	0.7408
00000010	R1	0.0025	780	0.7351
00000010	R1	0.025	380	2.6208
00000010	R1	0.025	385	2.5666
00000010	R1	0.025	390	2.5239
00000010	R1	0.025	395	2.4826
00000010	R1	0.025	400	2.4462
00000010	R1	0.025	405	2.4133
00000010	R1	0.025	410	2.3697
00000010	R1	0.025	415	2.3004
00000010	R1	0.025	420	2.2165
00000010	R1	0.025	425	2.1315
00000010	R1	0.025	430	2.032
00000010	R1	0.025	435	1.9317
00000010	R1	0.025	440	1.8367
00000010	R1	0.025	445	1.7381
00000010	R1	0.025	450	1.6498
00000010	R1	0.025	455	1.5822
00000010	R1	0.025	460	1.5303
00000010	R1	0.025	465	1.487
00000010	R1	0.025	470	1.4543
00000010	R1	0.025	475	1.4299
00000010	R1	0.025	480	1.4081
00000010	R1	0.025	485	1.3881
00000010	R1	0.025	490	1.3687
00000010	R1	0.025	495	1.3528
00000010	R1	0.025	500	1.3377
00000010	R1	0.025	505	1.3246
00000010	R1	0.025	510	1.3134
00000010	R1	0.025	515	1.3035
00000010	R1	0.025	520	1.2943
00000010	R1	0.025	525	1.2852
00000010	R1	0.025	530	1.2749
00000010	R1	0.025	535	1.2658
00000010	R1	0.025	540	1.2552
00000010	R1	0.025	545	1.2473
00000010	R1	0.025	550	1.243
00000010	R1	0.025	555	1.2337
00000010	R1	0.025	560	1.223
00000010	R1	0.025	565	1.2127
00000010	R1	0.025	570	1.2022
00000010	R1	0.025	575	1.1924
00000010	R1	0.025	580	1.1848
00000010	R1	0.025	585	1.1767
00000010	R1	0.025	590	1.1688
00000010	R1	0.025	595	1.1606
00000010	R1	0.025	600	1.1524
00000010	R1	0.025	605	1.1443
00000010	R1	0.025	610	1.136
00000010	R1	0.025	615	1.1289
00000010	R1	0.025	620	1.1216
00000010	R1	0.025	625	1.1142
00000010	R1	0.025	630	1.1061
00000010	R1	0.025	635	1.0976
00000010	R1	0.025	640	1.0913
00000010	R1	0.025	645	1.0836
00000010	R1	0.025	650	1.0763
00000010	R1	0.025	655	1.0678
00000010	R1	0.025	660	1.061
00000010	R1	0.025	665	1.0536
00000010	R1	0.025	670	1.0457
00000010	R1	0.025	675	1.0385
00000010	R1	0.025	680	1.0301
00000010	R1	0.025	685	1.0233
00000010	R1	0.025	690	1.0152
00000010	R1	0.025	695	1.0082
00000010	R1	0.025	700	0.9994
00000010	R1	0.025	705	0.9919
00000010	R1	0.025	710	0.9859
00000010	R1	0.025	715	0.9788
00000010	R1	0.025	720	0.9708
00000010	R1	0.025	725	0.9633
00000010	R1	0.025	730	0.9559
00000010	R1	0.025	735	0.9495
00000010	R1	0.025	740	0.9424
00000010	R1	0.025	745	0.9346
00000010	R1	0.025	750	0.9281
00000010	R1	0.025	755	0.9205
00000010	R1	0.025	760	0.913
00000010	R1	0.025	765	0.9063
00000010	R1	0.025	770	0.8995
00000010	R1	0.025	775	0.8938
00000010	R1	0.025	780	0.8866
00000010	R1	0.25	380	2.3903
00000010	R1	0.25	385	2.3257
00000010	R1	0.25	390	2.2734
00000010	R1	0.25	395	2.2346
00000010	R1	0.25	400	2.1971
00000010	R1	0.25	405	2.1555
00000010	R1	0.25	410	2.0894
00000010	R1	0.25	415	1.9939
00000010	R1	0.25	420	1.8866
00000010	R1	0.25	425	1.7891
00000010	R1	0.25	430	1.6895
00000010	R1	0.25	435	1.5897
00000010	R1	0.25	440	1.5019
00000010	R1	0.25	445	1.4095
00000010	R1	0.25	450	1.3268
00000010	R1	0.25	455	1.2655
00000010	R1	0.25	460	1.2176
00000010	R1	0.25	465	1.1797
00000010	R1	0.25	470	1.1498
00000010	R1	0.25	475	1.1284
00000010	R1	0.25	480	1.1086
00000010	R1	0.25	485	1.0905
00000010	R1	0.25	490	1.0732
00000010	R1	0.25	495	1.0581
00000010	R1	0.25	500	1.0431
00000010	R1	0.25	505	1.0304
00000010	R1	0.25	510	1.019
00000010	R1	0.25	515	1.0085
00000010	R1	0.25	520	0.9989
00000010	R1	0.25	525	0.9895
00000010	R1	0.25	530	0.9812
00000010	R1	0.25	535	0.971
00000010	R1	0.25	540	0.9603
00000010	R1	0.25	545	0.9522
00000010	R1	0.25	550	0.9461
00000010	R1	0.25	555	0.9365
00000010	R1	0.25	560	0.9269
00000010	R1	0.25	565	0.9165
00000010	R1	0.25	570	0.9073
00000010	R1	0.25	575	0.8991
00000010	R1	0.25	580	0.891
00000010	R1	0.25	585	0.8829
00000010	R1	0.25	590	0.8742
00000010	R1	0.25	595	0.8659
00000010	R1	0.25	600	0.8585
00000010	R1	0.25	605	0.8508
00000010	R1	0.25	610	0.843
00000010	R1	0.25	615	0.8352
00000010	R1	0.25	620	0.8288
00000010	R1	0.25	625	0.8213
00000010	R1	0.25	630	0.8149
00000010	R1	0.25	635	0.8069
00000010	R1	0.25	640	0.8003
00000010	R1	0.25	645	0.7924
00000010	R1	0.25	650	0.7852
00000010	R1	0.25	655	0.7779
00000010	R1	0.25	660	0.7715
00000010	R1	0.25	665	0.764
00000010	R1	0.25	670	0.7571
00000010	R1	0.25	675	0.751
00000010	R1	0.25	680	0.7451
00000010	R1	0.25	685	0.7372
00000010	R1	0.25	690	0.7308
00000010	R1	0.25	695	0.7233
00000010	R1	0.25	700	0.7171
00000010	R1	0.25	705	0.7099
00000010	R1	0.25	710	0.7038
00000010	R1	0.25	715	0.6978
00000010	R1	0.25	720	0.6903
00000010	R1	0.25	725	0.6841
00000010	R1	0.25	730	0.6776
00000010	R1	0.25	735	0.6729
00000010	R1	0.25	740	0.6653
00000010	R1	0.25	745	0.6584
00000010	R1	0.25	750	0.6528
00000010	R1	0.25	755	0.6475
00000010	R1	0.25	760	0.6407
00000010	R1	0.25	765	0.635
00000010	R1	0.25	770	0.6282
00000010	R1	0.25	775	0.6225
00000010	R1	0.25	780	0.6169
00000011	R1	0.0025	380	2.3566
00000011	R1	0.0025	385	2.2768
00000011	R1	0.0025	390	2.2024
00000011	R1	0.0025	395	2.1366
00000011	R1	0.0025	400	2.0817
00000011	R1	0.0025	405	2.0268
00000011	R1	0.0025	410	1.9577
00000011	R1	0.0025	415	1.8785
00000011	R1	0.0025	420	1.7887
00000011	R1	0.0025	425	1.7092
00000011	R1	0.0025	430	1.6258
00000011	R1	0.0025	435	1.5432
00000011	R1	0.0025	440	1.4765
00000011	R1	0.0025	445	1.4086
00000011	R1	0.0025	450	1.3504
00000011	R1	0.0025	455	1.3063
00000011	R1	0.0025	460	1.2705
00000011	R1	0.0025	465	1.2407
00000011	R1	0.0025	470	1.2154
00000011	R1	0.0025	475	1.1967
00000011	R1	0.0025	480	1.1787
00000011	R1	0.0025	485	1.1607
00000011	R1	0.0025	490	1.1436
00000011	R1	0.0025	495	1.1292
00000011	R1	0.0025	500	1.1146
00000011	R1	0.0025	505	1.1016
00000011	R1	0.0025	510	1.0904
00000011	R1	0.0025	515	1.0809
00000011	R1	0.0025	520	1.072
00000011	R1	0.0025	525	1.0624
00000011	R1	0.0025	530	1.054
00000011	R1	0.0025	535	1.0439
00000011	R1	0.0025	540	1.0338
00000011	R1	0.0025	545	1.0255
00000011	R1	0.0025	550	1.021
00000011	R1	0.0025	555	1.0119
00000011	R1	0.0025	560	1.0012
00000011	R1	0.0025	565	0.9898
00000011	R1	0.0025	570	0.9809
00000011	R1	0.0025	575	0.9712
00000011	R1	0.0025	580	0.9629
00000011	R1	0.0025	585	0.9553
00000011	R1	0.0025	590	0.946
00000011	R1	0.0025	595	0.9375
00000011	R1	0.0025	600	0.93
00000011	R1	0.0025	605	0.9223
00000011	R1	0.0025	610	0.9131
00000011	R1	0.0025	615	0.9061
00000011	R1	0.0025	620	0.8995
00000011	R1	0.0025	625	0.8912
00000011	R1	0.0025	630	0.8833
00000011	R1	0.0025	635	0.8752
00000011	R1	0.0025	640	0.8682
00000011	R1	0.0025	645	0.8611
00000011	R1	0.0025	650	0.8528
00000011	R1	0.0025	655	0.8442
00000011	R1	0.0025	660	0.8372
00000011	R1	0.0025	665	0.8304
00000011	R1	0.0025	670	0.8228
00000011	R1	0.0025	675	0.8164
00000011	R1	0.0025	680	0.8088
00000011	R1	0.0025	685	0.8015
00000011	R1	0.0025	690	0.794
00000011	R1	0.0025	695	0.7856
00000011	R1	0.0025	700	0.7781
00000011	R1	0.0025	705	0.7707
00000011	R1	0.0025	710	0.764
00000011	R1	0.0025	715	0.7575
00000011	R1	0.0025	720	0.7513
00000011	R1	0.0025	725	0.7431
00000011	R1	0.0025	730	0.7362
00000011	R1	0.0025	735	0.7301
